total crime (by borough),rainfall(mm),total employment in London,employment rate(%),total unemployment in London,unemployment rate,population in London,Non-UK nationality,inflation rate,covid-19 total cases,death due to covid-19 ,Passengers in London\t
74331,443.67,4447150,74.9,253899,5.2,8750000,2066000,2.6,0,0,7532422\t
70636,362.6,4460451,75.0,241,4.9,8750000,2066000,2.7,0,0,7480285\t
68598,266.29,4419942,74.3,245,5.0,8750000,2066000,2.8,0,0,6928800\t
73443,93.93,4438737,74.5,240431,4.9,8750000,2066000,2.8,0,0,6663671\t
72474,181.51,4435709,74.4,254804,5.2,8750000,2066000,2.8,0,0,5920389\t
66356,467.48,4442728,74.4,245824,5.0,8750000,2066000,2.7,0,0,6335860\t
69276,306.26,4467268,74.7,246951,5.0,8888000,1981000,2.7,0,0,5804671\t
62636,157.1,4487896,75.0,238523,4.8,8888000,1981000,2.5,0,0,5391855\t
67546,337.02,4500055,75.1,246689,4.9,8888000,1981000,2.3,0,0,6492752\t
67213,317.33,4481108,74.7,259611,5.2,8888000,1981000,2.2,0,0,6581579\t
71774,289.35,4479874,74.6,255251,5.1,8888000,1981000,2.3,0,0,6676963\t
70957,10.83,4484487,74.5,241678,4.9,8888000,1981000,2.3,0,0,7124524\t
75147,119.24,4495084,74.6,235247,4.7,8888000,1981000,2.3,0,0,7812309\t
69634,310.88,4512886,74.9,237455,4.8,8888000,1981000,2.4,0,0,7671950\t
69308,160.93,4536036,75.2,233969,4.7,8888000,1981000,2.2,0,0,6982147\t
74602,269.07,4557186,75.5,236485,4.7,8888000,1981000,2.2,0,0,6954019\t
74888,429.96,4526051,75.0,226844,4.5,8888000,1981000,2.2,0,0,6113761\t
72210,308.91,4522501,74.8,217662,4.5,8888000,1981000,2,0,0,6495487\t
72933,20.007,4556128,75.4,206608,4.2,8980000,2012000,1.8,0,0,5927543\t
71034,34.787,4527947,74.8,217972,4.5,8980000,2012000,1.8,0,0,5482288\t
79233,42.719,4538153,75.0,214018,4.4,8980000,2012000,1.8,0,0,6527489\t
75236,6.241,4535678,74.9,208890,4.3,8980000,2012000,2,0,0,6798212\t
77681,27.048,4543656,75.0,208763,4.3,8980000,2012000,1.9,0,0,6768903\t
77113,64.752,4528847,74.7,221989,4.5,8980000,2012000,1.9,0,0,7246563\t
82142,49,4510350,74.3,225144,4.6,8980000,2012000,2,0,0,7754139\t
77024,39.235,4507392,74.2,225416,4.6,8980000,2012000,1.7,0,0,7680327\t
76559,72.281,4535355,74.6,222479,4.5,8980000,2012000,1.7,0,0,6777115\t
81898,101.969,4547785,74.8,221300,4.5,8980000,2012000,1.5,0,0,6994212\t
79318,58.442,4601732,75.6,213947,4.3,8980000,2012000,1.5,0,0,6233801\t
